WARNING 2025-08-26 19:20:14,881 services 15632 8800 GEMINI_API_KEY not configured. AI features will use fallback responses.
WARNING 2025-08-26 19:20:41,056 services 48068 16296 GEMINI_API_KEY not configured. AI features will use fallback responses.
WARNING 2025-08-26 19:21:16,801 services 46824 39028 GEMINI_API_KEY not configured. AI features will use fallback responses.
WARNING 2025-08-26 19:21:26,798 services 22656 35748 GEMINI_API_KEY not configured. AI features will use fallback responses.
WARNING 2025-08-26 19:21:37,057 services 7208 25304 GEMINI_API_KEY not configured. AI features will use fallback responses.
WARNING 2025-08-26 19:25:26,610 services 6920 32924 GEMINI_API_KEY not configured. AI features will use fallback responses.
WARNING 2025-08-26 19:25:36,334 services 50036 21584 GEMINI_API_KEY not configured. AI features will use fallback responses.
INFO 2025-08-26 19:25:36,350 services 50036 21584 AI session initialized: f4434895-632a-423a-965a-d2fb2d92954f for meeting 1
WARNING 2025-08-26 19:25:45,942 services 32620 22168 GEMINI_API_KEY not configured. AI features will use fallback responses.
INFO 2025-08-26 19:25:45,964 services 32620 22168 AI session initialized: b7061bce-eb7c-422c-b233-0d6ace8fddc2 for meeting 1
WARNING 2025-08-26 19:25:45,966 services 32620 22168 GEMINI_API_KEY not configured. AI features will use fallback responses.
INFO 2025-08-26 19:33:02,680 consumers 14180 39920 User 1 connected to meeting 1 WebSocket
INFO 2025-08-26 19:33:02,683 consumers 14180 39920 User 1 disconnected from meeting 1 WebSocket (code: 1000)
INFO 2025-08-26 19:33:52,249 consumers 39744 47956 User 1 connected to meeting 1 WebSocket
INFO 2025-08-26 19:33:52,249 consumers 39744 47956 User 1 disconnected from meeting 1 WebSocket (code: 1000)
INFO 2025-08-26 19:37:22,907 consumers 45848 42076 User 1 connected to meeting 1 WebSocket
WARNING 2025-08-26 19:37:22,909 services 45848 35500 GEMINI_API_KEY not configured. AI features will use fallback responses.
INFO 2025-08-26 19:37:22,918 consumers 45848 42076 User 1 disconnected from meeting 1 WebSocket (code: 1000)
INFO 2025-08-26 19:37:32,826 consumers 25752 40284 User 1 connected to meeting 1 WebSocket
INFO 2025-08-26 19:37:32,826 consumers 25752 40284 Connection status update from user 1: healthy
INFO 2025-08-26 19:37:32,838 consumers 25752 40284 User 1 disconnected from meeting 1 WebSocket (code: 1000)
INFO 2025-08-26 19:37:42,981 consumers 5200 40660 User 1 connected to meeting 1 WebSocket
INFO 2025-08-26 19:37:42,984 consumers 5200 40660 User 2 connected to meeting 1 WebSocket
ERROR 2025-08-26 19:37:42,988 consumers 5200 24836 Error saving notes with conflict resolution: Invalid field name(s) for model MeetingSession: 'notes_version'.
INFO 2025-08-26 19:37:42,992 consumers 5200 40660 User 1 disconnected from meeting 1 WebSocket (code: 1000)
INFO 2025-08-26 19:37:42,992 consumers 5200 40660 User 2 disconnected from meeting 1 WebSocket (code: 1000)
INFO 2025-08-26 19:38:25,648 consumers 13584 30680 User 1 connected to meeting 1 WebSocket
INFO 2025-08-26 19:38:25,648 consumers 13584 30680 User 2 connected to meeting 1 WebSocket
INFO 2025-08-26 19:38:25,656 consumers 13584 30680 User 1 disconnected from meeting 1 WebSocket (code: 1000)
INFO 2025-08-26 19:38:25,656 consumers 13584 30680 User 2 disconnected from meeting 1 WebSocket (code: 1000)
INFO 2025-08-26 19:38:39,473 consumers 32120 13732 User 1 connected to meeting 1 WebSocket
INFO 2025-08-26 19:38:39,479 consumers 32120 13732 User 1 disconnected from meeting 1 WebSocket (code: 1000)
INFO 2025-08-26 19:38:39,679 consumers 32120 50128 User 2 connected to meeting 2 WebSocket
WARNING 2025-08-26 19:38:39,679 services 32120 14320 GEMINI_API_KEY not configured. AI features will use fallback responses.
INFO 2025-08-26 19:38:39,899 consumers 32120 41164 User 3 connected to meeting 3 WebSocket
INFO 2025-08-26 19:38:39,899 consumers 32120 41164 Connection status update from user 3: healthy
INFO 2025-08-26 19:38:39,899 consumers 32120 41164 User 3 disconnected from meeting 3 WebSocket (code: 1000)
INFO 2025-08-26 19:38:40,136 consumers 32120 9744 User 4 connected to meeting 4 WebSocket
WARNING 2025-08-26 19:38:40,143 services 32120 14320 GEMINI_API_KEY not configured. AI features will use fallback responses.
INFO 2025-08-26 19:38:40,147 consumers 32120 9744 User 4 disconnected from meeting 4 WebSocket (code: 1000)
INFO 2025-08-26 19:38:40,340 consumers 32120 41480 User 5 connected to meeting 5 WebSocket
ERROR 2025-08-26 19:38:40,340 consumers 32120 41480 Invalid JSON received from user 5: Expecting value: line 1 column 1 (char 0)
INFO 2025-08-26 19:38:40,342 consumers 32120 41480 User 5 disconnected from meeting 5 WebSocket (code: 1000)
INFO 2025-08-26 19:38:40,693 consumers 32120 19772 User 6 connected to meeting 6 WebSocket
INFO 2025-08-26 19:38:40,693 consumers 32120 19772 User 7 connected to meeting 6 WebSocket
INFO 2025-08-26 19:38:40,703 consumers 32120 19772 User 6 disconnected from meeting 6 WebSocket (code: 1000)
INFO 2025-08-26 19:38:40,703 consumers 32120 19772 User 7 disconnected from meeting 6 WebSocket (code: 1000)
INFO 2025-08-26 19:38:40,893 consumers 32120 28636 User 8 connected to meeting 7 WebSocket
INFO 2025-08-26 19:38:40,902 consumers 32120 28636 User 8 disconnected from meeting 7 WebSocket (code: 1000)
INFO 2025-08-26 19:38:41,082 consumers 32120 50292 User 9 connected to meeting 8 WebSocket
INFO 2025-08-26 19:38:41,090 consumers 32120 50292 User 9 disconnected from meeting 8 WebSocket (code: 1000)
INFO 2025-08-26 19:38:41,296 consumers 32120 20180 User 10 connected to meeting 9 WebSocket
INFO 2025-08-26 19:38:41,296 consumers 32120 20180 User 10 disconnected from meeting 9 WebSocket (code: 1000)
INFO 2025-08-26 19:38:41,646 consumers 32120 7376 User 11 connected to meeting 10 WebSocket
INFO 2025-08-26 19:38:41,646 consumers 32120 7376 User 12 connected to meeting 10 WebSocket
INFO 2025-08-26 19:38:41,658 consumers 32120 7376 User 11 disconnected from meeting 10 WebSocket (code: 1000)
INFO 2025-08-26 19:38:41,658 consumers 32120 7376 User 12 disconnected from meeting 10 WebSocket (code: 1000)
INFO 2025-08-26 19:38:41,848 consumers 32120 12124 User 13 connected to meeting 11 WebSocket
INFO 2025-08-26 19:38:41,848 consumers 32120 12124 User 13 disconnected from meeting 11 WebSocket (code: 1000)
WARNING 2025-08-26 19:38:42,042 consumers 32120 23008 Unauthenticated WebSocket connection attempt for meeting 12
INFO 2025-08-26 19:39:05,030 consumers 27088 37032 User 1 connected to meeting 1 WebSocket
INFO 2025-08-26 19:39:05,054 consumers 27088 37032 User 1 disconnected from meeting 1 WebSocket (code: 1000)
INFO 2025-08-26 19:39:05,269 consumers 27088 41844 User 2 connected to meeting 2 WebSocket
WARNING 2025-08-26 19:39:05,269 services 27088 10996 GEMINI_API_KEY not configured. AI features will use fallback responses.
INFO 2025-08-26 19:39:05,277 consumers 27088 41844 User 2 disconnected from meeting 2 WebSocket (code: 1000)
INFO 2025-08-26 19:39:05,469 consumers 27088 43460 User 3 connected to meeting 3 WebSocket
INFO 2025-08-26 19:39:05,469 consumers 27088 43460 Connection status update from user 3: healthy
INFO 2025-08-26 19:39:05,473 consumers 27088 43460 User 3 disconnected from meeting 3 WebSocket (code: 1000)
INFO 2025-08-26 19:39:05,659 consumers 27088 36396 User 4 connected to meeting 4 WebSocket
WARNING 2025-08-26 19:39:05,659 services 27088 10996 GEMINI_API_KEY not configured. AI features will use fallback responses.
INFO 2025-08-26 19:39:05,659 consumers 27088 36396 User 4 disconnected from meeting 4 WebSocket (code: 1000)
INFO 2025-08-26 19:39:05,847 consumers 27088 10252 User 5 connected to meeting 5 WebSocket
ERROR 2025-08-26 19:39:05,847 consumers 27088 10252 Invalid JSON received from user 5: Expecting value: line 1 column 1 (char 0)
INFO 2025-08-26 19:39:05,850 consumers 27088 10252 User 5 disconnected from meeting 5 WebSocket (code: 1000)
INFO 2025-08-26 19:39:06,197 consumers 27088 32520 User 6 connected to meeting 6 WebSocket
INFO 2025-08-26 19:39:06,197 consumers 27088 32520 User 7 connected to meeting 6 WebSocket
INFO 2025-08-26 19:39:06,205 consumers 27088 32520 User 6 disconnected from meeting 6 WebSocket (code: 1000)
INFO 2025-08-26 19:39:06,205 consumers 27088 32520 User 7 disconnected from meeting 6 WebSocket (code: 1000)
INFO 2025-08-26 19:39:06,410 consumers 27088 48372 User 8 connected to meeting 7 WebSocket
INFO 2025-08-26 19:39:06,633 consumers 27088 34612 User 9 connected to meeting 8 WebSocket
INFO 2025-08-26 19:39:06,832 consumers 27088 15560 User 10 connected to meeting 9 WebSocket
INFO 2025-08-26 19:39:06,833 consumers 27088 15560 User 10 disconnected from meeting 9 WebSocket (code: 1000)
INFO 2025-08-26 19:39:07,214 consumers 27088 25104 User 11 connected to meeting 10 WebSocket
INFO 2025-08-26 19:39:07,216 consumers 27088 25104 User 12 connected to meeting 10 WebSocket
INFO 2025-08-26 19:39:07,216 consumers 27088 25104 User 11 disconnected from meeting 10 WebSocket (code: 1000)
INFO 2025-08-26 19:39:07,500 consumers 27088 33764 User 13 connected to meeting 11 WebSocket
INFO 2025-08-26 19:39:07,500 consumers 27088 33764 User 13 disconnected from meeting 11 WebSocket (code: 1000)
WARNING 2025-08-26 19:39:07,683 consumers 27088 17456 Unauthenticated WebSocket connection attempt for meeting 12
ERROR 2025-08-26 19:39:07,746 base_events 27088 10996 Task exception was never retrieved
future: <Task finished name='Task-161' coro=<URLRouter.__call__() done, defined at C:\Users\Lenovo\AppData\Local\Programs\Python\Python311\Lib\site-packages\channels\routing.py:98> exception=RuntimeError('<asyncio.locks.Lock object at 0x00000202A76E3B50 [locked]> is bound to a different event loop')>
Traceback (most recent call last):
  File "C:\Users\Lenovo\AppData\Local\Programs\Python\Python311\Lib\site-packages\channels\routing.py", line 116, in __call__
    return await application(
           ^^^^^^^^^^^^^^^^^^
  File "C:\Users\Lenovo\AppData\Local\Programs\Python\Python311\Lib\site-packages\channels\consumer.py", line 94, in app
    return await consumer(scope, receive, send)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Lenovo\AppData\Local\Programs\Python\Python311\Lib\site-packages\channels\consumer.py", line 58, in __call__
    await await_many_dispatch(
  File "C:\Users\Lenovo\AppData\Local\Programs\Python\Python311\Lib\site-packages\channels\utils.py", line 57, in await_many_dispatch
    await task
RuntimeError: <asyncio.locks.Lock object at 0x00000202A76E3B50 [locked]> is bound to a different event loop
INFO 2025-08-26 19:49:46,612 crm_service 50836 26856 Successfully synced meeting 1 to CRM
ERROR 2025-08-26 19:49:46,632 crm_service 50836 26856 CRM sync failed for meeting 1: Server error
INFO 2025-08-26 19:49:46,638 crm_service 50836 26856 Successfully synced meeting 1 to CRM
INFO 2025-08-26 19:49:46,644 crm_service 50836 26856 Successfully synced meeting 1 to CRM
ERROR 2025-08-26 19:49:46,659 crm_service 50836 26856 CRM sync failed for meeting 1: CRM server error
INFO 2025-08-26 19:49:46,679 crm_service 50836 26856 Successfully synced meeting 1 to CRM
INFO 2025-08-26 19:49:46,691 crm_service 50836 26856 Successfully authenticated with Creatio CRM
INFO 2025-08-26 19:51:22,159 crm_service 52056 15844 Created follow-up task for action item 1
INFO 2025-08-26 19:51:36,023 crm_service 20824 8572 Successfully authenticated with Creatio CRM
ERROR 2025-08-26 19:51:36,117 crm_service 20824 8572 Unexpected error syncing meeting 1: Expecting value: line 1 column 1 (char 0)
INFO 2025-08-26 19:51:36,132 crm_service 20824 8572 Created follow-up task for action item 2
INFO 2025-08-26 19:51:36,134 crm_service 20824 8572 Created follow-up task for action item 1
INFO 2025-08-26 19:51:36,149 crm_service 20824 8572 Created follow-up task for action item 2
ERROR 2025-08-26 19:51:36,150 crm_service 20824 8572 Failed to create follow-up task for action item 1: Task creation failed
INFO 2025-08-26 19:51:36,156 crm_service 20824 8572 Created follow-up task for action item 1
INFO 2025-08-26 19:51:36,167 crm_service 20824 8572 Successfully synced meeting 1 to CRM
ERROR 2025-08-26 19:51:36,183 crm_service 20824 8572 CRM sync failed for meeting 1: Server error
INFO 2025-08-26 19:51:36,194 crm_service 20824 8572 Successfully synced meeting 1 to CRM
INFO 2025-08-26 19:51:36,202 crm_service 20824 8572 Successfully synced meeting 1 to CRM
ERROR 2025-08-26 19:51:36,211 crm_service 20824 8572 CRM sync failed for meeting 1: CRM server error
INFO 2025-08-26 19:51:36,227 crm_service 20824 8572 Successfully synced meeting 1 to CRM
ERROR 2025-08-26 19:51:36,233 crm_service 20824 8572 CRM authentication failed: Network error
INFO 2025-08-26 19:51:36,236 crm_service 20824 8572 Successfully authenticated with Creatio CRM
WARNING 2025-08-26 19:51:36,237 crm_service 20824 8572 CRM API request failed (attempt 1), retrying in 1s: Server error
WARNING 2025-08-26 19:51:36,237 crm_service 20824 8572 CRM API request failed (attempt 2), retrying in 2s: Server error
WARNING 2025-08-26 19:51:36,237 crm_service 20824 8572 CRM API request failed (attempt 3), retrying in 4s: Server error
ERROR 2025-08-26 19:51:36,241 crm_service 20824 8572 CRM API request failed after 3 retries: Server error
WARNING 2025-08-26 19:51:36,245 crm_service 20824 8572 CRM API request failed (attempt 1), retrying in 1s: Server error
WARNING 2025-08-26 19:51:36,246 crm_service 20824 8572 CRM API request failed (attempt 2), retrying in 2s: Server error
INFO 2025-08-26 19:57:21,242 task_scheduler 38616 9300 Cleaned up completed reminders
INFO 2025-08-26 19:57:21,245 task_scheduler 38616 9300 Skipping reminder for action item 1 - status: completed
INFO 2025-08-26 19:57:21,250 task_scheduler 38616 9300 Successfully sent email reminder for action item 1
ERROR 2025-08-26 19:57:21,254 task_scheduler 38616 9300 Action item 99999 not found for reminder
INFO 2025-08-26 19:57:21,256 task_scheduler 38616 9300 Successfully sent notification reminder for action item 1
WARNING 2025-08-26 19:57:21,260 task_scheduler 38616 9300 Action item 2 is overdue: Overdue task
INFO 2025-08-26 19:57:21,260 task_scheduler 38616 9300 Processed 1 overdue tasks
INFO 2025-08-26 19:57:21,264 task_scheduler 38616 9300 Cancelled reminders for action item 1
ERROR 2025-08-26 19:57:21,286 task_scheduler 38616 9300 Action item 99999 not found
INFO 2025-08-26 19:57:21,294 task_scheduler 38616 9300 Scheduled follow-up task and reminders for action item 1
INFO 2025-08-26 19:57:21,304 task_scheduler 38616 9300 Rescheduled action item 1 from 2025-09-02 to 2025-09-09, scheduled 2 reminders
INFO 2025-08-26 19:57:21,329 task_scheduler 38616 9300 Scheduled follow-up task and reminders for action item 1
ERROR 2025-08-26 19:57:21,333 task_scheduler 38616 9300 Error scheduling reminder for action item 1: 'datetime.date' object has no attribute 'date'
ERROR 2025-08-26 19:57:21,333 task_scheduler 38616 9300 Error scheduling reminder for action item 1: 'datetime.date' object has no attribute 'date'
ERROR 2025-08-26 19:57:21,339 task_scheduler 38616 9300 Error scheduling reminder for action item 1: 'datetime.date' object has no attribute 'date'
INFO 2025-08-26 19:57:21,342 task_scheduler 38616 9300 Email reminder sent to John Doe: Test message
INFO 2025-08-26 19:57:21,344 task_scheduler 38616 9300 Notification sent to John Doe: Test message
INFO 2025-08-26 19:57:21,346 task_scheduler 38616 9300 Webhook reminder sent for John Doe: Test message
INFO 2025-08-26 19:57:49,222 sync_tracker 40316 14180 Cleaned up sync tracking data older than 30 days
INFO 2025-08-26 19:57:49,242 sync_tracker 40316 14180 Tracked sync operation 1_meeting_outcome_1756218469.242773: meeting_outcome - success
INFO 2025-08-26 19:57:49,242 sync_tracker 40316 14180 Tracked sync operation 1_follow_up_tasks_1756218469.242773: follow_up_tasks - failed
INFO 2025-08-26 19:57:49,248 sync_tracker 40316 14180 Tracked sync operation 1_meeting_outcome_1756218469.2482: meeting_outcome - failed
INFO 2025-08-26 19:57:49,253 sync_tracker 40316 14180 Tracked sync operation 1_follow_up_tasks_1756218469.2482: follow_up_tasks - success
INFO 2025-08-26 19:57:49,258 sync_tracker 40316 14180 Tracked sync operation 1_meeting_outcome_1756218469.258108: meeting_outcome - failed
INFO 2025-08-26 19:57:49,267 sync_tracker 40316 14180 Tracked sync operation 1_meeting_outcome_1756218469.265833: meeting_outcome - success
INFO 2025-08-26 19:57:49,269 sync_tracker 40316 14180 Tracked sync operation 1_follow_up_tasks_1756218469.267848: follow_up_tasks - failed
INFO 2025-08-26 19:57:49,294 sync_tracker 40316 14180 Tracked sync operation 1_meeting_outcome_1756218469.294373: meeting_outcome - success
INFO 2025-08-26 19:57:49,304 sync_tracker 40316 14180 Tracked sync operation 1_meeting_outcome_1756218469.299748: meeting_outcome - success
INFO 2025-08-26 19:57:49,306 sync_tracker 40316 14180 Tracked sync operation 1_meeting_outcome_1756218469.304449: meeting_outcome - success
INFO 2025-08-26 19:57:49,309 sync_tracker 40316 14180 Tracked sync operation 1_meeting_outcome_1756218469.306498: meeting_outcome - success
INFO 2025-08-26 19:57:49,316 sync_tracker 40316 14180 Tracked sync operation 1_meeting_outcome_1756218469.314088: meeting_outcome - success
INFO 2025-08-26 19:57:49,317 sync_tracker 40316 14180 Tracked sync operation 2_meeting_outcome_1756218469.316258: meeting_outcome - success
INFO 2025-08-26 19:57:49,323 sync_tracker 40316 14180 Tracked sync operation 1_meeting_outcome_1756218469.317505: meeting_outcome - success
INFO 2025-08-26 19:58:15,224 sync_tracker 44084 8400 Cleaned up sync tracking data older than 30 days
INFO 2025-08-26 19:58:15,280 sync_tracker 44084 8400 Tracked sync operation 1_meeting_outcome_1756218495.277437: meeting_outcome - success
INFO 2025-08-26 19:58:15,284 sync_tracker 44084 8400 Tracked sync operation 1_follow_up_tasks_1756218495.281438: follow_up_tasks - failed
INFO 2025-08-26 19:58:15,299 sync_tracker 44084 8400 Tracked sync operation 1_meeting_outcome_1756218495.295883: meeting_outcome - failed
INFO 2025-08-26 19:58:15,303 sync_tracker 44084 8400 Tracked sync operation 1_follow_up_tasks_1756218495.299867: follow_up_tasks - success
INFO 2025-08-26 19:58:15,318 sync_tracker 44084 8400 Tracked sync operation 1_meeting_outcome_1756218495.314674: meeting_outcome - failed
INFO 2025-08-26 19:58:15,338 sync_tracker 44084 8400 Tracked sync operation 1_meeting_outcome_1756218495.334731: meeting_outcome - success
INFO 2025-08-26 19:58:15,342 sync_tracker 44084 8400 Tracked sync operation 1_follow_up_tasks_1756218495.339918: follow_up_tasks - failed
INFO 2025-08-26 19:58:15,361 sync_tracker 44084 8400 Tracked sync operation 1_follow_up_tasks_1756218495.358637: follow_up_tasks - failed
INFO 2025-08-26 19:58:15,369 sync_tracker 44084 8400 Tracked sync operation 1_follow_up_tasks_1756218495.364173: follow_up_tasks - success
INFO 2025-08-26 19:58:15,379 sync_tracker 44084 8400 Tracked sync operation 1_meeting_outcome_1756218495.374913: meeting_outcome - failed
INFO 2025-08-26 19:58:15,384 sync_tracker 44084 8400 Tracked sync operation 1_meeting_outcome_1756218495.380918: meeting_outcome - success
